0.5457,0.5365,0.5513,0.5226,0.5272,0.5328,0.5448,0.5439,0.5346,0.543
0.5913,0.57,0.5681,0.5496,0.5533,0.57,0.5691,0.5728,0.5644,0.5691
0.5207,0.5254,0.517,0.5411,0.5504,0.5485,0.5587,0.5476,0.5559,0.5791
0.5357,0.5515,0.5617,0.558,0.5765,0.5728,0.595,0.6089,0.5904,0.5876
0.4994,0.5198,0.5291,0.5744,0.605,0.6078,0.6041,0.6189,0.6217,0.6522
0.5283,0.5607,0.5413,0.5506,0.5552,0.5617,0.5626,0.583,0.6191,0.6154
0.5522,0.5106,0.5356,0.5356,0.5207,0.5467,0.543,0.5439,0.5402,0.5402
0.5783,0.5922,0.5681,0.5857,0.5728,0.5931,0.6098,0.583,0.5913,0.5987
0.5263,0.5217,0.5217,0.5337,0.5365,0.5633,0.5633,0.5744,0.5522,0.5707
0.5496,0.5524,0.583,0.5857,0.5922,0.5793,0.582,0.5885,0.5969,0.5894
0.5041,0.5281,0.5087,0.5643,0.5902,0.6041,0.5994,0.6281,0.6504,0.6531
0.4839,0.5033,0.508,0.5181,0.5274,0.5274,0.5385,0.5172,0.5728,0.5969
0.5476,0.5263,0.5513,0.5328,0.53,0.5439,0.5494,0.5606,0.5393,0.5439
0.582,0.5811,0.5774,0.5506,0.5552,0.5728,0.5691,0.5811,0.5774,0.5728
0.5263,0.5254,0.5319,0.5272,0.5485,0.5624,0.5652,0.5615,0.5633,0.5643
0.5756,0.558,0.5515,0.545,0.5765,0.5719,0.5765,0.5737,0.5765,0.5857
0.4967,0.5254,0.5069,0.568,0.6031,0.592,0.6217,0.6124,0.6356,0.6606
0.5404,0.52,0.5237,0.5728,0.582,0.5635,0.5885,0.5876,0.608,0.6691
0.5467,0.5309,0.5457,0.5309,0.543,0.5439,0.5513,0.5467,0.5467,0.5448
0.5765,0.5478,0.5552,0.5728,0.595,0.582,0.5876,0.5894,0.6219,0.5996
0.5309,0.5152,0.5356,0.5291,0.5383,0.5633,0.5615,0.5531,0.5476,0.5717
0.5691,0.5746,0.5681,0.5922,0.5959,0.5765,0.582,0.6098,0.5904,0.6209
0.5189,0.5346,0.5504,0.568,0.5893,0.605,0.6161,0.6319,0.6226,0.6374
0.5681,0.6311,0.6274,0.6061,0.6311,0.595,0.6181,0.6339,0.658,0.6728
