0.5633,0.555,0.5661,0.5578,0.5606,0.568,0.5957,0.5846,0.5828,0.5911
0.5978,0.6015,0.608,0.5941,0.57,0.5728,0.5644,0.5561,0.5506,0.5496
0.543,0.5272,0.53,0.5337,0.5448,0.5457,0.5569,0.5717,0.5633,0.568
0.5672,0.5348,0.5469,0.5894,0.57,0.5811,0.6024,0.6033,0.608,0.6172
0.5578,0.5522,0.5365,0.5606,0.5735,0.5994,0.605,0.643,0.6485,0.6485
0.582,0.5617,0.5663,0.5728,0.5756,0.5644,0.5765,0.5774,0.5857,0.5691
0.5615,0.5541,0.5652,0.5559,0.5615,0.5791,0.5957,0.5856,0.5828,0.5865
0.6135,0.5978,0.5783,0.5876,0.583,0.5969,0.582,0.5959,0.595,0.5941
0.5587,0.5346,0.5337,0.5633,0.5439,0.5393,0.5578,0.5717,0.5633,0.568
0.5487,0.5487,0.5978,0.5765,0.595,0.6024,0.6237,0.6228,0.6219,0.6228
0.5559,0.5531,0.5346,0.5633,0.5707,0.6013,0.6004,0.643,0.6476,0.6476
0.5885,0.5265,0.5589,0.5635,0.5644,0.5469,0.5413,0.5228,0.5367,0.533
0.5615,0.5541,0.568,0.5559,0.5624,0.5837,0.6013,0.5939,0.5874,0.5911
0.6006,0.6135,0.62,0.5969,0.5959,0.5876,0.5941,0.5839,0.5978,0.5931
0.5578,0.5356,0.5411,0.5624,0.5439,0.543,0.5596,0.5707,0.5633,0.5661
0.595,0.5357,0.5635,0.5654,0.5737,0.5552,0.5885,0.595,0.5996,0.5719
0.5559,0.5263,0.53,0.567,0.5707,0.6013,0.6022,0.6439,0.6467,0.6476
0.5959,0.5719,0.57,0.5709,0.5691,0.6015,0.6024,0.5793,0.5978,0.6126
0.5606,0.5531,0.5661,0.5596,0.5735,0.5707,0.5967,0.5874,0.5865,0.5874
0.6043,0.5969,0.5922,0.595,0.6154,0.6126,0.5922,0.608,0.5904,0.5987
0.5448,0.5133,0.5328,0.5393,0.5254,0.5439,0.5606,0.5698,0.5652,0.5689
0.5357,0.5293,0.5274,0.5422,0.5765,0.5691,0.607,0.6089,0.6107,0.6061
0.555,0.5439,0.5356,0.5661,0.5735,0.6022,0.6041,0.6448,0.6467,0.643
0.608,0.5904,0.5922,0.582,0.5867,0.5663,0.5774,0.5783,0.5672,0.595
